date,ticker,tradeable,score,max_gain,ret
2023-06-01,AAPL,True,71,7.990449219834519,7.718363040701874
2023-06-01,MSFT,True,77,5.679836430332565,3.953935895122988
2023-06-01,NVDA,True,58,20.915262760875024,16.824239376414372
2023-06-01,GOOGL,True,67,4.3000323310701525,0.7516973811833227
2023-06-01,GOOG,True,75,4.164991557449551,0.5547961727104589
2023-06-01,AVGO,True,83,15.603519210076577,15.241470979175887
2023-06-01,LLY,True,42,7.647368782789983,2.4399184402849956
2023-06-01,MRK,True,32,4.218876769133681,-4.831875957811245
2023-06-01,VRTX,True,23,11.03763673444162,10.617390766948894
2023-06-01,ISRG,True,46,14.490886842274747,13.943453339344353
2023-06-01,BSX,True,37,6.300970873786403,2.1553398058252413
2023-06-01,IDXX,True,29,17.967818831942793,17.452749872296966
2023-06-01,SYK,True,31,10.180565028538613,7.197472807552864
2023-06-01,CMG,True,46,3.1306277103052893,2.1696849202575894
2023-06-01,BKNG,True,26,15.881960784313728,15.672941176470593
2023-06-01,ORCL,True,82,20.332106802528553,12.170959524483447
2023-06-01,CRM,True,77,9.065288868013145,7.092531705025832
2023-06-01,AMD,True,78,11.182723696325448,-0.9625847493094548
2023-06-01,AMAT,True,80,8.79626195950455,7.913669064748191
2023-06-01,LRCX,True,65,7.094021230600473,6.486948665827781
2023-06-01,KLAC,True,77,9.060172806222795,8.364086358915424
2023-06-01,SNPS,True,71,1.8259817401826008,1.4585854141458574
2023-06-01,CDNS,True,80,5.529497826928879,5.185248934979995
2023-06-01,MDLZ,True,30,1.52153240048907,-2.268713490014946
2023-06-01,CHD,True,30,8.377358490566033,6.080862533692723
2023-06-01,BA,True,61,7.669744181573374,1.8801692633198677
2023-06-01,GE,True,60,7.146303068755204,6.181324107714687
2023-06-01,ETN,True,74,15.38483020554067,15.035746201966052
2023-06-01,ODFL,True,59,21.487486226979378,20.661104989768614
2023-06-01,LIN,True,38,7.9003628794058836,7.488255647134942
2023-06-01,EQIX,True,68,7.796776677375676,7.209993893210852
2023-06-01,MA,True,32,8.930112165660054,8.444779982743743
2023-06-01,SHOP,True,39,23.282706247842615,18.536416983085967
2023-06-01,UBER,True,57,20.582120582120588,18.269230769230774
2023-06-01,PANW,True,85,19.41510217260944,15.342036071774537
2023-06-01,NOW,True,82,9.582658022690444,9.10195962870193
2023-06-01,TSM,True,71,11.989073249696473,6.019830028328615
2023-06-01,DELL,True,52,23.405191377034757,20.32556093268808
2023-06-01,MU,True,78,2.105948762483714,-5.688232739904482
2023-06-01,ON,True,68,19.249573621375774,18.624218305855596
2023-06-01,ADI,True,29,10.548195776287345,8.840973338506744
2023-06-01,FSLR,True,51,1.7294241640318027,-0.9725016767270294
2023-06-01,HMC,True,75,13.09743411927878,4.576976421636616
2023-06-01,DXCM,True,48,15.738417795618004,14.943970563639397
2023-06-01,ALGN,True,45,25.164872139973088,24.616419919246308
2023-06-01,NVR,True,30,15.696485663150003,15.049877841026385
2023-06-01,PHM,True,34,22.644873699851427,21.39673105497772
2023-06-01,LEN,True,27,23.210590970660654,20.575170940742446
2023-06-01,DHI,True,42,20.252581120943937,18.040191740412986
2023-06-01,LW,True,52,3.506736860890521,0.8298384937985249
2023-06-01,ROK,True,53,22.533604307056006,22.14497094163367
2023-06-01,PH,True,42,23.620356452651922,22.994570385594642
2023-06-01,AME,True,62,10.711126233412733,7.451514120449144
2023-06-01,VMC,True,53,13.777665995975847,12.530181086519113
2023-09-01,AAPL,True,69,0.2744642668637083,-5.66874274253141
2023-09-01,MSFT,True,45,3.7120428406255663,1.2109779103024283
2023-09-01,NVDA,True,85,0.7046115153888953,-4.976396132676414
2023-09-01,GOOGL,True,69,4.098481497862305,2.532065457762054
2023-09-01,GOOG,True,69,4.078947368421041,2.6973684210526296
2023-09-01,TSLA,True,56,13.864740214685126,3.6365862617852316
2023-09-01,AVGO,True,59,6.119057442809333,3.4440471278595446
2023-09-01,LLY,True,62,13.078207176320658,10.685501965500524
2023-09-01,REGN,True,48,2.6862907783509535,1.446556762021569
2023-09-01,ISRG,True,51,0.31248993266968533,-11.678103153893236
2023-09-01,BSX,True,64,3.2823573293547277,-6.56471465870943
2023-09-01,IDXX,True,58,-0.6454262747168948,-15.98701324101782
2023-09-01,SYK,True,45,6.022148004921777,-7.157672701705049
2023-09-01,CMG,True,61,1.9305069095898606,-6.610922258731759
2023-09-01,LULU,True,87,3.6665924441475526,3.080234543160392
2023-09-01,BKNG,True,53,3.585359354583954,-4.764855259736303
2023-09-01,ABNB,True,43,13.915894189464167,-5.652272213429798
2023-09-01,ORCL,True,74,5.362606466550896,-10.105019432729687
2023-09-01,ADBE,True,81,1.9868255180128087,-2.2140942099749696
